token,lemma,tag,idpicto,disable
past_picto,past_picto,\N,9839,\
future_picto,future_picto,\N,9829,\
combien,\N,\N,7073,\
à_quelle_heure,\N,\N,29175,\
\N,positif,\N,3220,\
\N,négatif,\N,3200,\
\N,plus,\N,19572,\
\N,maximal,\N,19572,\
\N,trop,\N,19572,\
\N,très,\N,19572,\
\N,moins,\N,19557,\
haricots_verts,\N,\N,2438,\
\N,tu,\N,2608,\
\N,vous,\N,2608,\
\N,je,\N,2617,\
me,\N,\N,2617,\
moi,\N,\N,2617,\
\N,plumeau,\N,2825,\
terrain_de_football,\N,\N,3073,\
@,\N,\N,3177,\
arobase,\N,\N,3177,\
langue_de_belle-mère,\N,\N,3204,\
\N,espalier,\N,3269,\
porte-parapluie,\N,\N,3285,\
\N,pétanque,\N,3287,\
!,\N,\N,3417,\
?,\N,\N,3418,\
château_de_sable,\N,\N,4790,\
\N,sceau,\N,4875,\
sceau_de_peinture,\N,\N,4875,\
festivités_du_pilier,\N,\N,5073,\
jour_du_pilier,\N,\N,5073,\
\N,noyer,\N,5366,\
se_noyer,\N,\N,5366,\
cabochard,\N,\N,5407,\
cabochard_berrugon,\N,\N,5407,\
cabochard,\N,\N,5409,\
cabocharde_forana,\N,\N,5409,\
cabochard,\N,\N,5410,\
cabochard_forano,\N,\N,5410,\
cabochard,\N,\N,5411,\
cabochard_morico,\N,\N,5411,\
cabochard,\N,\N,5412,\
cabochard_pilara,\N,\N,5412,\
cabochard,\N,\N,5413,\
cabochard_robaculeros,\N,\N,5413,\
cabochard,\N,\N,5414,\
torero,\N,\N,5414,\
cabochard,\N,\N,5415,\
grosses_têtes,\N,\N,5416,\
cabochard,\N,\N,5461,\
macédoine_de_légumes,\N,\N,5511,\
pas,\N,ADV,5526,\
fer_à_cheveux,\N,\N,5542,\
\N,être,\N,3423,\
à_tout_à_l'heure,\N,\N,5896,\
au_revoir,\N,\N,6028,\
ville_A,\N,\N,5963,\
\N,stade,\N,5993,\
stade_de_football,\N,\N,5993,\
terrain_de_football,\N,\N,5993,\
\N,baisser,\N,6033,\
se_baisser,\N,\N,6033,\
\N,noyer,\N,6037,
se_noyer,\N,\N,6037,\
maman_ours,\N,\N,6144,\
je_ne_veux_pas,\N,\N,6156,\
ne_pas_vouloir,\N,\N,6156,\
petit_ours,\N,\N,6162,\
papa_ours,\N,\N,6165,\
pinocchio,\N,\N,6177,\
boucles_d'or,\N,\N,6207,\
il,\N,\N,6480,
il,\N,\N,6481,\
se,\N,\N,6481,\
\N,allumer,\N,6486,\
\N,tu,\N,6625,
\N,vous,\N,6625,
toi,\N,\N,6625,\
\N,je,\N,6632,
me,\N,\N,6632,
moi,\N,\N,6632,
livres_de_jeuxVIR_sport_et_loisir,\N,\N,6641,\
cela,\N,\N,6906,\
celle-là,\N,\N,6906,\
celui-là,\N,\N,6906,\
celles-là,\N,\N,6907,\
ceux-là,\N,\N,6907,\
\N,chaussé,\N,6953,\
\N,charriot,\N,6962,\
caddie_de_supermarché,\N,\N,6962,\
elle,\N,\N,7028,
elle,\N,\N,7029,\
se,\N,\N,7029,\
elles,\N,\N,7030,
elles,\N,\N,7031,\
leur,\N,\N,7031,
se,\N,\N,7031,\
eux,\N,\N,7032,
ils,\N,\N,7032,
eux,\N,\N,7033,\
ils,\N,\N,7033,\
leur,\N,\N,7033,\
se,\N,\N,7033,\
dans,\N,\N,7034,\
à,\N,\N,7041,\
devant,\N,\N,7044,\
sous,\N,\N,7047,\
avec,\N,\N,7064,\
contre,\N,\N,7067,\
de,\N,\N,7074,
depuis,\N,\N,7077,\
cela,\N,\N,7091,
celle-là,\N,\N,7091,
celui-ci,\N,\N,7091,\
celles-là,\N,\N,7092,
ces,\N,\N,7092,\
ceci,\N,\N,7095,\
celle-ci,\N,\N,7095,\
celui-ci,\N,\N,7095,
celles-ci,\N,\N,7096,\
ceux-ci,\N,\N,7096,\
vers,\N,\N,7125,\
\N,nous,\N,7183,
\N,nous,\N,7184,
\N,nous,\N,7185,\
\N,nous,\N,7186,
pour,\N,\N,7194,\
vers,\N,\N,7194,\
aux_alentours_de,\N,\N,7212,\
environ,\N,\N,7212,\
par,\N,\N,7212,\
\N,couvrir,\N,7264,\
\N,tu,\N,7289,
\N,vous,\N,7289,
\N,tu,\N,7290,
\N,vous,\N,7290,
toi,\N,\N,7290,\
\N,vous,\N,7304,
\N,vous,\N,7305,
\N,vous,\N,7306,
\N,vous,\N,7307,
\N,je,\N,7309,
me,\N,\N,7309,
moi,\N,\N,7309,
\N,je,\N,7310,
me,\N,\N,7310,
moi,\N,\N,7310,
où,\N,\N,7764,\
où?,\N,\N,7764,\
entre,\N,\N,7765,\
jusqu'à,\N,\N,7771,\
arts_plastiques,\N,\N,7794,\
travaux_manuels,\N,\N,7794,\
selon,\N,\N,7810,\
sans,\N,\N,7813,\
sur,\N,\N,7814,\
après,\N,\N,7818,\
asturies,\N,\N,8034,\
batman,\N,\N,8039,\
cantabrie,\N,\N,8060,\
castilla-la-mancha,\N,\N,8067,\
ceuta,\N,\N,8070,\
cette_histoire_es_finie,\N,\N,8081,\
cette_histoire_est_finie,\N,\N,8115,\
pays_basque,\N,\N,8118,\
pays-basque,\N,\N,8118,\
estrémadure,\N,\N,8120,\
la_rioja,\N,\N,8149,\
communauté_de_madrid,\N,\N,8156,\
melilla,\N,\N,8164,\
mies_de_pain,\N,\N,8169,\
murcie,\N,\N,8174,\
navarre,\N,\N,8177,\
piscine_à_boules,\N,\N,8191,\
s'il_vous_plaît,\N,\N,8194,
s'il_vous_plait,\N,\N,8194,
s'il_te_plaît,\N,\N,8194,
s'il_te_plait,\N,\N,8194,
svp,\N,\N,8194,
stp,\N,\N,8194,
s'il_vous_plaît,\N,\N,8195,\
s'il_vous_plait,\N,\N,8195,\
s'il_te_plaît,\N,\N,8195,\
s'il_te_plait,\N,\N,8195,\
svp,\N,\N,8195,\
stp,\N,\N,8195,\
programme_de_bricolage,\N,\N,8199,\
spiderman,\N,\N,8224,\
pays_valencien,\N,\N,8246,\
il_était_un_fois,\N,\N,8277,\
cabochard,\N,\N,8300,\
haricot_vert,\N,\N,8354,\
un,\N,\N,8474,
une,\N,\N,8474,
quelques,\N,\N,8475,\
ce,\N,\N,8476,\
la,\N,\N,8476,\
le,\N,\N,8476,\
des,\N,\N,8477,\
les,\N,\N,8477,\
asturies,\N,\N,8494,\
cantabrie,\N,\N,8527,\
castilla-la-mancha,\N,\N,8529,\
ceuta,\N,\N,8535,\
pays_basque,\N,\N,8576,\
pays-basque,\N,\N,8576,\
estrémadure,\N,\N,8580,\
goalball,\N,\N,8590,\
la_rioja,\N,\N,8613,\
communauté_de_madrid,\N,\N,8622,\
melilla,\N,\N,8628,\
murcie,\N,\N,8636,\
nez_de_clown,\N,\N,8637,\
navarre,\N,\N,8639,\
pays_valencien,\N,\N,8713,\
\N,avoir,\N,9001,\
il_y_a,\N,\N,9001,\
trace,\N,\N,9071,\
couleur_café,\N,\N,9094,\
cube_de_rubik,\N,\N,9134,\
ninjakous,\N,\N,9148,\
carte_graphique,\N,\N,9166,\
je_n'ai_pas_la_parole,\N,\N,9851,\
barcelone,\N,\N,9858,\
qu'est-ce_que_c'est_?,\N,\N,10276,\
qui,\N,\N,10276,\
qui_c'est?,\N,\N,10276,\
qui_est-elle?,\N,\N,10276,\
qui?,\N,\N,10276,\
bien_que,\N,\N,11185,\
jeu_du_mouchoir,\N,\N,11290,\
aucun,\N,\N,11314,\
aucune,\N,\N,11314,\
personne,\N,\N,34560,\
ou,\N,\N,11317,\
parce_que,\N,\N,11348,\
que,\N,\N,11351,\
mais,\N,\N,11377,\
toutefois,\N,\N,11377,\
\N,visite,\N,11396,\
\N,visiter,\N,11396,\
visite_scolaire,\N,\N,11396,\
et,\N,\N,3220,\
communauté_éducative,\N,\N,11453,\
\N,technologie,\N,11459,\
\N,espagnol,\N,11534,\
ça_va?,\N,\N,11597,\
comment_ça_va_?,\N,\N,11597,\
bon_appétit!,\N,\N,11627,\
\N,veuf,\N,11643,\
service_d'insertion_professionnelle,\N,\N,11657,\
service_d'occupation,\N,\N,11657,\
\N,au,\N,11709,\
en,\N,\N,11709,\
de,\N,\N,11712,\
du,\N,\N,11712,\
\N,pouvoir,\N,11750,
\N,pouvoir,\N,34641,
à_moi,\N,\N,12264,\
le_mien,\N,\N,12264,\
ma,\N,\N,12264,\
mienne,\N,\N,12264,\
mon,\N,\N,12264,\
à_moi,\N,\N,12266,
les_miens,\N,\N,12266,\
mes,\N,\N,12266,\
miennes,\N,\N,12266,\
la_nôtre,\N,\N,12268,\
notre,\N,\N,12268,\
nos,\N,\N,12270,\
nôtres,\N,\N,12270,\
sa,\N,\N,12272,\
sien,\N,\N,12272,\
sienne,\N,\N,12272,\
son,\N,\N,12272,\
sa,\N,\N,12274,
sien,\N,\N,12274,
sienne,\N,\N,12274,
son,\N,\N,12274,
ses,\N,\N,12276,\
siennes,\N,\N,12276,\
siens,\N,\N,12276,\
ses,\N,\N,12278,
siennes,\N,\N,12278,
siens,\N,\N,12278,
tien,\N,\N,12281,\
tienne,\N,\N,12281,\
ton,\N,\N,12281,\
tes,\N,\N,12283,\
tiennes,\N,\N,12283,\
tiens,\N,\N,12283,\
votre,\N,\N,12285,\
vôtre,\N,\N,12285,\
vos,\N,\N,12287,\
vôtres,\N,\N,12287,\
panellets,\N,\N,12299,\
caganer,\N,\N,12301,\
oncle_de_noël,\N,\N,12303,\
tronc_de_noël,\N,\N,12303,\
coca,\N,\N,12311,\
comme,\N,\N,12313,\
qui,\N,\N,13358,\
qui_sont-ils?,\N,\N,13358,\
qui?,\N,\N,13358,\
alava,\N,\N,14759,\
guipuzcoa,\N,\N,14760,\
biscaye,\N,\N,14761,\
albacete,\N,\N,14762,\
ciudad_real,\N,\N,14763,\
cuenca,\N,\N,14764,\
guadalajara,\N,\N,14765,\
alicante,\N,\N,14767,\
castellon,\N,\N,14768,\
asturies,\N,\N,14829,\
badajoz,\N,\N,14830,\
caceres,\N,\N,14831,\
cantabrie,\N,\N,14836,\
ceuta,\N,\N,14837,\
melilla,\N,\N,14838,\
la_rioja,\N,\N,14839,\
madrid,\N,\N,14840,\
murcie,\N,\N,14841,\
navarre,\N,\N,14842,\
accommodement_raisonnable,\N,\N,15020,\
dulcinée,\N,\N,15373,\
dulcinée_du_toboso,\N,\N,15373,\
sancho_panza,\N,\N,15495,\
\N,devoir,\N,15525,\
centre_de_récupération,\N,\N,16151,\
crmf,\N,\N,16151,\
unité_d'emploiVIR_d'égalitéVIR_de_coopération_et_de_communication,\N,\N,16182,\
unifor,\N,\N,16184,\
livret_de_famille,\N,\N,16799,\
poche_à_douille,\N,\N,16809,\
châssis,\N,\N,17171,\
\N,pétanque,\N,17257,\
jour_et_nuit,\N,\N,21018,\
blanche-neige,\N,\N,21447,\
dire_au_revoir,\N,\N,21793,\
daurade,\N,\N,21806,\
colin-maillard,\N,\N,21882,\
le_chat_botté,\N,\N,21888,\
hansel_et_gretel,\N,\N,21923,\
jeux_paralympiques,\N,\N,21953,\
comment,\N,\N,22619,\
comment?,\N,\N,22619,\
\N,quel,\N,22620,\
quel?,\N,\N,22620,\
quelle?,\N,\N,22620,\
quelles?,\N,\N,22620,\
quels?,\N,\N,22620,\
quoi?,\N,\N,22620,\
quand,\N,\N,22621,
\N,quel,\N,22624,
quand,\N,\N,24053,
grande_canarie,\N,\N,24477,\
fuerteventura,\N,\N,24478,\
roue_de_psychomotricité,\N,\N,24573,\
entretemps,\N,\N,24737,\
pendant,\N,\N,24737,\
pourquoi,\N,\N,24763,\
badajoz,\N,\N,25357,\
porte_de_palmas,\N,\N,25357,\
chaussure_en_caoutchouc,\N,\N,25610,\
demi-pension,\N,\N,25706,\
araword,\N,\N,25748,
araword,\N,\N,25749,\
se_baigner,\N,\N,25843,\
se_baigner,\N,\N,25844,\
se_baigner,\N,\N,25845,\
\N,quel,\N,26022,
\N,ordonner,\N,26366,\
\N,prescrire,\N,26366,\
fideuá,\N,\N,27757,\
oui,\N,\N,28359,
une_heure,\N,\N,29452,\
une_heure_pile,\N,\N,29452,\
\N,baisser,\N,29672,
se_baisser,\N,\N,29672,\
maison_de_la_culture,\N,\N,29845,\
\N,favori,\N,30012,\
\N,sport,\N,30604,\
ceuta,\N,\N,31330,\
ceuta,\N,\N,31331,\
le,\N,\N,31670,
\N,nous,\N,31672,
\N,nous,\N,31674,
\N,tu,\N,31801,
\N,vous,\N,31801,
eux,\N,\N,31805,
ils,\N,\N,31805,
\N,je,\N,31807,
me,\N,\N,31807,
moi,\N,\N,31807,
eux,\N,\N,31906,
ils,\N,\N,31906,
leur,\N,\N,31906,
se,\N,\N,31906,\
\N,suer,\N,32125,\
en_sueur,\N,\N,32125,\
\N,nous,\N,32306,
où_est-il_?,\N,\N,32872,\
quand,\N,\N,32874,\
\N,accessibilité,\N,32877,\
moniteur_de_prévention,\N,\N,34201,\
\N,emboîtable,\N,34518,\
perso_B,\N,\N,34558,\
perso_A,\N,\N,34560,\
perso_R,\N,\N,34560,\
salle_des_professeurs,\N,\N,34788,\
carte_conceptuelle,\N,\N,35075,\
\N,pétanque,\N,35385,\
ôte-agrafes,\N,\N,35397,\
\N,char,\N,35477,\
globoflexie,\N,\N,35495,\
\N,pouvoir,\N,34641,\
\N,pouvoir,\N,35949,
cabochard,\N,\N,36173,\
cabochard,\N,\N,36175,\
coup_de_coude,\N,\N,37024,\
lutte_canarienne,\N,\N,37039,\
bataille_de_bâton,\N,\N,37041,\
combat_de_bâton,\N,\N,37041,\
landais_et_chrétien,\N,\N,37044,\
pelote_valencienne,\N,\N,37053,\
excès_de_vitesse,\N,\N,37090,\
jeu_d'encastrement,\N,\N,37092,\
pyramide_d'éveil,\N,\N,37092,\
\N,radar,\N,37105,\
jeu_des_statues,\N,\N,37124,\
\N,toiletteur,\N,37132,
\N,toiletteur,\N,37133,\
\N,jour,\N,37371,\
\N,minute,\N,37374,\
0,\N,\N,2626,\
zéro,\N,\N,2626,\
1,\N,\N,2627,\
un,\N,\N,2627,\
une,\N,\N,2627,\
2,\N,\N,2628,\
deux,\N,\N,2628,\
3,\N,\N,2629,\
trois,\N,\N,2629,\
4,\N,\N,2630,\
quatre,\N,\N,2630,\
5,\N,\N,2631,\
cinq,\N,\N,2631,\
6,\N,\N,2632,\
six,\N,\N,2632,\
7,\N,\N,2633,\
sept,\N,\N,2633,\
8,\N,\N,2634,\
huit,\N,\N,2634,\
9,\N,\N,2635,\
neuf,\N,\N,2635,\
10,\N,\N,29254,\
dix,\N,\N,29254,\
100,\N,\N,29256,\
cent,\N,\N,29256,\
1000,\N,\N,29258,\
mille,\N,\N,29258,\
11,\N,\N,29260,\
onze,\N,\N,29260,\
12,\N,\N,29262,\
douze,\N,\N,29262,\
13,\N,\N,29264,\
treize,\N,\N,29264,\
14,\N,\N,29266,\
quatorze,\N,\N,29266,\
15,\N,\N,29268,\
quinze,\N,\N,29268,\
16,\N,\N,29270,\
seize,\N,\N,29270,\
17,\N,\N,29272,\
dix-sept,\N,\N,29272,\
18,\N,\N,29274,\
dix-huit,\N,\N,29274,\
19,\N,\N,29276,\
dix-neuf,\N,\N,29276,\
200,\N,\N,29278,\
deux-cents,\N,\N,29278,\
21,\N,\N,29280,\
vingt-et-un,\N,\N,29280,\
22,\N,\N,29282,\
vingt-deux,\N,\N,29282,\
23,\N,\N,29284,\
vingt-trois,\N,\N,29284,\
24,\N,\N,29286,\
vingt-quatre,\N,\N,29286,\
25,\N,\N,29288,\
vingt-cinq,\N,\N,29288,\
26,\N,\N,29290,\
vingt-six,\N,\N,29290,\
27,\N,\N,29292,\
vingt-sept,\N,\N,29292,\
28,\N,\N,29294,\
vingt-huit,\N,\N,29294,\
29,\N,\N,29296,\
vingt-neuf,\N,\N,29296,\
30,\N,\N,29298,\
trente,\N,\N,29298,\
300,\N,\N,29300,\
trois-cents,\N,\N,29300,\
31,\N,\N,29302,\
trente-et-un,\N,\N,29302,\
32,\N,\N,29304,\
trente-deux,\N,\N,29304,\
33,\N,\N,29306,\
trente-trois,\N,\N,29306,\
34,\N,\N,29308,\
trente-quatre,\N,\N,29308,\
35,\N,\N,29310,\
trente-cinq,\N,\N,29310,\
36,\N,\N,29312,\
36,\N,\N,29312,\
36,\N,\N,29312,\
trente-six,\N,\N,29312,\
37,\N,\N,29314,\
trente-sept,\N,\N,29314,\
38,\N,\N,29316,\
trente-huit,\N,\N,29316,\
39,\N,\N,29318,\
trente-neuf,\N,\N,29318,\
40,\N,\N,29320,\
quarante,\N,\N,29320,\
400,\N,\N,29322,\
quatre-cents,\N,\N,29322,\
41,\N,\N,29324,\
quarante_et_un,\N,\N,29324,\
42,\N,\N,29326,\
quarante-deux,\N,\N,29326,\
43,\N,\N,29328,\
quarante-trois,\N,\N,29328,\
44,\N,\N,29330,\
quarante-quatre,\N,\N,29330,\
45,\N,\N,29332,\
quarante-cinq,\N,\N,29332,\
46,\N,\N,29334,\
quarante-six,\N,\N,29334,\
47,\N,\N,29336,\
quarante-sept,\N,\N,29336,\
48,\N,\N,29338,\
quarante-huit,\N,\N,29338,\
49,\N,\N,29340,\
quarante-neuf,\N,\N,29340,\
50,\N,\N,29342,\
cinquante,\N,\N,29342,\
500,\N,\N,29344,\
cinq-cents,\N,\N,29344,\
51,\N,\N,29346,\
cinquante_et_un,\N,\N,29346,\
52,\N,\N,29348,\
cinquante-deux,\N,\N,29348,\
53,\N,\N,29350,\
cinquante-trois,\N,\N,29350,\
54,\N,\N,29352,\
cinquante-quatre,\N,\N,29352,\
55,\N,\N,29354,\
cinquante-cinq,\N,\N,29354,\
56,\N,\N,29356,\
cinquante-six,\N,\N,29356,\
57,\N,\N,29358,\
cinquante-sept,\N,\N,29358,\
58,\N,\N,29360,\
cinquante-huit,\N,\N,29360,\
59,\N,\N,29362,\
cinquante-neuf,\N,\N,29362,\
60,\N,\N,29364,\
soixante,\N,\N,29364,\
61,\N,\N,29366,\
soixante-et-un,\N,\N,29366,\
62,\N,\N,29368,\
soixante-deux,\N,\N,29368,\
63,\N,\N,29370,\
soixante-trois,\N,\N,29370,\
64,\N,\N,29372,\
soixante-quatre,\N,\N,29372,\
65,\N,\N,29374,\
soixante-cinq,\N,\N,29374,\
66,\N,\N,29376,\
soixante-six,\N,\N,29376,\
67,\N,\N,29378,\
soixante-sept,\N,\N,29378,\
68,\N,\N,29380,\
soixante-huit,\N,\N,29380,\
69,\N,\N,29382,\
soixante-neuf,\N,\N,29382,\
600,\N,\N,29384,\
six-cents,\N,\N,29384,\
700,\N,\N,29386,\
sept-cents,\N,\N,29386,\
70,\N,\N,29388,\
septante,\N,\N,29388,\
soixante-dix,\N,\N,29388,\
soixante-et-onze,\N,\N,29390,\
septante-et-un,\N,\N,29390,\
71,\N,\N,29390,\
72,\N,\N,29392,\
soixante-douze,\N,\N,29392,\
septante-deux,\N,\N,29392,\
septante-trois,\N,\N,29394,\
73,\N,\N,29394,\
soixante-treize,\N,\N,29394,\
74,\N,\N,29396,\
soixante-quatorze,\N,\N,29396,\
septante-quatre,\N,\N,29396,\
75,\N,\N,29398,\
septante-cinq,\N,\N,29398,\
soixante-quinze,\N,\N,29398,\
76,\N,\N,29400,\
soixante-seize,\N,\N,29400,\
septante-six,\N,\N,29400,\
77,\N,\N,29402,\
septante-sept,\N,\N,29402,\
soixante-dix-sept,\N,\N,29402,\
78,\N,\N,29404,\
soixante-dix-huit,\N,\N,29404,\
septante-huit,\N,\N,29404,\
soixante-dix-huit,\N,\N,29404,\
79,\N,\N,29406,\
septante-neuf,\N,\N,29406,\
soixante-dix-neuf,\N,\N,29406,\
800,\N,\N,29408,\
huit-cents,\N,\N,29408,\
80,\N,\N,29410,\
quatre-vingts,\N,\N,29410,\
81,\N,\N,29412,\
quatre-vingt-un,\N,\N,29412,\
82,\N,\N,29414,\
quatre-vingt-deux,\N,\N,29414,\
83,\N,\N,29416,\
quatre-vingt-trois,\N,\N,29416,\
84,\N,\N,29418,\
quatre-vingt-quatre,\N,\N,29418,\
85,\N,\N,29420,\
quatre-vingt-cinq,\N,\N,29420,\
86,\N,\N,29422,\
quatre-vingt-six,\N,\N,29422,\
87,\N,\N,29424,\
quatre-vingt-sept,\N,\N,29424,\
88,\N,\N,29426,\
quatre-vingt-huit,\N,\N,29426,\
89,\N,\N,29428,\
quatre-vingt-neuf,\N,\N,29428,\
90,\N,\N,29430,\
quatre-vingt-dix,\N,\N,29430,\
900,\N,\N,29432,\
neuf-cents,\N,\N,29432,\
91,\N,\N,29434,\
nonante-et-un,\N,\N,29434,\
quatre-vingt-onze,\N,\N,29434,\
92,\N,\N,29436,\
nonante-deux,\N,\N,29436,\
quatre-vingt-douze,\N,\N,29436,\
93,\N,\N,29438,\
nonante-trois,\N,\N,29438,\
quatre-vingt-treize,\N,\N,29438,\
94,\N,\N,29440,\
nonante-quatre,\N,\N,29440,\
quatre-vingt-quatorze,\N,\N,29440,\
95,\N,\N,29442,\
nonante-cinq,\N,\N,29442,\
quatre-vingt-quinze,\N,\N,29442,\
96,\N,\N,29444,\
nonante-six,\N,\N,29444,\
quatre-vingt-seize,\N,\N,29444,\
97,\N,\N,29446,\
nonante-sept,\N,\N,29446,\
quatre-vingt-dix-sept,\N,\N,29446,\
98,\N,\N,29448,\
nonante-huit,\N,\N,29448,\
quatre-vingt-dix-huit,\N,\N,29448,\
99,\N,\N,29450,\
nonante-neuf,\N,\N,29450,\
quatre-vingt-dix-neuf,\N,\N,29450,N